journal;concept;topconcept
<http://data.gesis.org/softwarekg/PMC/journal/5578>;Molecular Biology;Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/5578>;Molecular Biology;Mathematics
<http://data.gesis.org/softwarekg/PMC/journal/5578>;Molecular Biology;Computer Science
<http://data.gesis.org/softwarekg/PMC/journal/5578>;Computational Mathematics;Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/5578>;Computational Mathematics;Mathematics
<http://data.gesis.org/softwarekg/PMC/journal/5578>;Computational Mathematics;Computer Science
<http://data.gesis.org/softwarekg/PMC/journal/5578>;Computer Science Applications;Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/5578>;Computer Science Applications;Mathematics
<http://data.gesis.org/softwarekg/PMC/journal/5578>;Computer Science Applications;Computer Science
<http://data.gesis.org/softwarekg/PMC/journal/5578>;Statistics and Probability;Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/5578>;Statistics and Probability;Mathematics
<http://data.gesis.org/softwarekg/PMC/journal/5578>;Statistics and Probability;Computer Science
<http://data.gesis.org/softwarekg/PMC/journal/5578>;Computational Theory and Mathematics;Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/5578>;Computational Theory and Mathematics;Mathematics
<http://data.gesis.org/softwarekg/PMC/journal/5578>;Computational Theory and Mathematics;Computer Science
<http://data.gesis.org/softwarekg/PMC/journal/5578>;Biochemistry;Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/5578>;Biochemistry;Mathematics
<http://data.gesis.org/softwarekg/PMC/journal/5578>;Biochemistry;Computer Science
<http://data.gesis.org/softwarekg/PMC/journal/6394>;Neurology;Neuroscience
<http://data.gesis.org/softwarekg/PMC/journal/6394>;Neurology;Medicine
<http://data.gesis.org/softwarekg/PMC/journal/6394>;Neurology (clinical);Neuroscience
<http://data.gesis.org/softwarekg/PMC/journal/6394>;Neurology (clinical);Medicine
<http://data.gesis.org/softwarekg/PMC/journal/6394>;Cognitive Neuroscience;Neuroscience
<http://data.gesis.org/softwarekg/PMC/journal/6394>;Cognitive Neuroscience;Medicine
<http://data.gesis.org/softwarekg/PMC/journal/1401>;Biochemistry, Genetics and Molecular Biology (miscellaneous);Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/1401>;Biochemistry, Genetics and Molecular Biology (miscellaneous);Agricultural and Biological Sciences
<http://data.gesis.org/softwarekg/PMC/journal/1401>;Biochemistry, Genetics and Molecular Biology (miscellaneous);Medicine
<http://data.gesis.org/softwarekg/PMC/journal/1401>;Agricultural and Biological Sciences (miscellaneous);Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/1401>;Agricultural and Biological Sciences (miscellaneous);Agricultural and Biological Sciences
<http://data.gesis.org/softwarekg/PMC/journal/1401>;Agricultural and Biological Sciences (miscellaneous);Medicine
