source,target,n,p,p_source,p_target,p_cond,weight
<http://novosnp.bioinf.be/>,<http://lpg.nci.nih.gov/>,1,8.216926869350862e-4,8.216926869350862e-4,8.216926869350862e-4,1,1
<https://droog.gs.washington.edu/polyphred>,<http://lpg.nci.nih.gov/>,1,8.216926869350862e-4,8.216926869350862e-4,8.216926869350862e-4,1,1
<https://www.wikidata.org/wiki/Q11368>,<http://lpg.nci.nih.gov/>,1,8.216926869350862e-4,0.0024650780608052587,8.216926869350862e-4,0.3333333333333333,0.3333333333333333
<https://www.wikidata.org/wiki/Q15777>,<http://lpg.nci.nih.gov/>,1,8.216926869350862e-4,0.005751848808545604,8.216926869350862e-4,0.14285714285714285,0.14285714285714285
<https://www.wikidata.org/wiki/Q388>,<http://lpg.nci.nih.gov/>,1,8.216926869350862e-4,0.013968775677896467,8.216926869350862e-4,0.0588235294117647,0.0588235294117647
<https://www.wikidata.org/wiki/Q42478>,<http://lpg.nci.nih.gov/>,1,8.216926869350862e-4,0.005751848808545604,8.216926869350862e-4,0.14285714285714285,0.14285714285714285
<http://lpg.nci.nih.gov/>,<http://novosnp.bioinf.be/>,1,8.216926869350862e-4,8.216926869350862e-4,8.216926869350862e-4,1,1
<https://droog.gs.washington.edu/polyphred>,<http://novosnp.bioinf.be/>,1,8.216926869350862e-4,8.216926869350862e-4,8.216926869350862e-4,1,1
<https://www.wikidata.org/wiki/Q11368>,<http://novosnp.bioinf.be/>,1,8.216926869350862e-4,0.0024650780608052587,8.216926869350862e-4,0.3333333333333333,0.3333333333333333
<https://www.wikidata.org/wiki/Q15777>,<http://novosnp.bioinf.be/>,1,8.216926869350862e-4,0.005751848808545604,8.216926869350862e-4,0.14285714285714285,0.14285714285714285
<https://www.wikidata.org/wiki/Q388>,<http://novosnp.bioinf.be/>,1,8.216926869350862e-4,0.013968775677896467,8.216926869350862e-4,0.0588235294117647,0.0588235294117647
<https://www.wikidata.org/wiki/Q42478>,<http://novosnp.bioinf.be/>,1,8.216926869350862e-4,0.005751848808545604,8.216926869350862e-4,0.14285714285714285,0.14285714285714285
<http://lpg.nci.nih.gov/>,<https://droog.gs.washington.edu/polyphred>,1,8.216926869350862e-4,8.216926869350862e-4,8.216926869350862e-4,1,1
<http://novosnp.bioinf.be/>,<https://droog.gs.washington.edu/polyphred>,1,8.216926869350862e-4,8.216926869350862e-4,8.216926869350862e-4,1,1
<https://www.wikidata.org/wiki/Q11368>,<https://droog.gs.washington.edu/polyphred>,1,8.216926869350862e-4,0.0024650780608052587,8.216926869350862e-4,0.3333333333333333,0.3333333333333333
<https://www.wikidata.org/wiki/Q15777>,<https://droog.gs.washington.edu/polyphred>,1,8.216926869350862e-4,0.005751848808545604,8.216926869350862e-4,0.14285714285714285,0.14285714285714285
