id,label,softwaretype,con_medicine,con_biochemistry_genetics_and_molecular_biology,con_agricultural_and_biological_sciences,con_neuroscience,con_computer_science,con_mathematics,con_environmental_science,con_immunology_and_microbiology,con_pharmacology_toxicology_and_pharmaceutics,con_chemistry,con_physics_and_astronomy,con_social_sciences,con_NA,con_veterinary,con_health_professions,con_chemical_engineering,con_engineering,con_nursing,con_materials_science,con_multidisciplinary,con_psychology,mt_usage,mt_mention,mt_deposition,mt_creation,community_no,degree_in,degree_out,betweenness
<http://novosnp.bioinf.be/>,NovoSNP,Application,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2.6778711484593836,6,0
<http://lpg.nci.nih.gov/>,SNPdetector,Application,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,2.6778711484593836,6,0
<https://droog.gs.washington.edu/polyphred>,PolyPhred,Application,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2.6778711484593836,6,0
<https://www.wikidata.org/wiki/Q11368>,Unix,OperatingSystem,1,3,2,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,5.060711241018146,3.666666666666667,0
<https://www.wikidata.org/wiki/Q15777>,C,ProgrammingEnvironment,1,6,5,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,1,0,0,3,14.641937644623066,3.9999999999999987,1360
<https://www.wikidata.org/wiki/Q388>,Linux,OperatingSystem,2,16,8,8,14,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,0,0,3,35.343320389974956,4.470588235294111,13299
<https://www.wikidata.org/wiki/Q42478>,Perl,ProgrammingEnvironment,2,6,4,2,4,4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,3,23.587968325159977,5.571428571428574,1085
<http://bio.ifom-firc.it/NTFootPrinter>,NemaFootPrinter,Application,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,1.0350140056022408,4,0
<https://www.wikidata.org/wiki/Q251>,Java,ProgrammingEnvironment,2,14,11,8,12,12,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,15,5,0,0,9,33.28927078797139,2.882352941176468,28574
<https://www.wikidata.org/wiki/Q47607>,SQL,ProgrammingEnvironment,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,1.5419509375154736,3,0
<https://www.wikidata.org/wiki/Q11272>,Excel,Application,68,62,61,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,68,1,0,0,10,46.26117596969276,1.5652173913043488,169066
<https://www.wikidata.org/wiki/Q1406>,Windows,OperatingSystem,82,93,81,6,16,16,6,0,0,1,1,0,1,0,0,0,0,0,1,1,0,94,13,0,0,3,63.43684410800116,2.06862745098039,95320
<https://www.wikidata.org/wiki/Q14116>,Mac,OperatingSystem,12,21,16,8,10,10,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,6,0,0,3,29.884163125437908,3.6956521739130475,12283
<https://www.wikidata.org/wiki/Q2378>,Visual Basic,ProgrammingEnvironment,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,3,2.8732176741664404,3,0
